Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,A colleague of yours has requested vacation for the same week as you. According to your supervisor one of you has to take a different week of vacation because it would be too busy at work if both of you are absent. Your colleague is not willing to change their vacation plans. What would you do and why?,"You have a project due in two weeks. Your workload is light leading up to the due date. You have confidence in your ability to handle the project, but are aware sometimes your boss gives you last minute tasks that can take significant amounts of time and attention. How would you handle this project and why?",You and a colleague have had a long day at work and you just find out you have been invited to a networking meeting with one of your largest clients. Your colleague is leaning towards not going and if they don't go you won’t know anyone there. What would you do and why?,"Your manager just gave you some negative feedback at work. You don’t agree with the feedback and don’t believe that it is true. Yet the feedback could carry real consequences (e.g., losing your annual bonus). How do you feel about this situation? What would you do?",The company closed a deal with a client from Norway and asks who would like to volunteer to be involved on the project. That person would have to learn some things about the country and culture but doesn't necessarily need to travel. Would you find this experience enjoyable or boring? Why?,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others?  Please endorse the box next to each statement to indicate the extent to which you agree or disagree with that statement.Please answer all questions honestly. Socially Desirable responses are not helpful to this research.",,,,,,,,,,,,,,,,Please endorse the box next to each statement to indicate the extent to which you agree or disagree with that statement.Please answer all questions honestly. Socially Desirable responses are not helpful to this research.,,,,,,,,,,,,,,,,Please endorse the box next to each statement to indicate the extent to which you agree or disagree with that statement.Please answer all questions honestly. Socially Desirable responses are not helpful to this research.,,,,,,,,,,,,,,,,,Please endorse the box next to each statement to indicate the extent to which you agree or disagree with that statement.Please answer all questions honestly. Socially Desirable responses are not helpful to this research.,,,,,,,,,,,,,,,,What is your gender?,In what country do you currently reside?,,"Are you White, Black or African-American, American Indian or Alaskan Native, Asian, Native Hawaiian or other Pacific islander, or some other race? ",,What is your age?,What is the highest level of education you have completed?  ,Please copy and paste your MTurk Worker ID below. You can find this on your Dashboard or in the upper left corner of the MTurk website.,aLwNxu8nDc
,,,,,,,,,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,"Is outgoing, sociable at work.","Is compassionate, has a soft heart at work.",Tends to be disorganized at work.,"Is relaxed, handles stress well at work.",Has few artistic interests at work.,Has an assertive personality at work.,"Is respectful, treats others with respect at work.",Tends to be lazy at work.,Stays optimistic after experiencing a setback at work.,Is curious about many different things at work.,For attention purposes please mark agree strongly.,Rarely feels excited or eager at work.,Tends to find fault with others at work.,"Is dependable, steady at work.","Is moody, has up and down mood swings at work.","Is inventive, finds clever ways to do things at work.",Tends to be quiet at work.,Feels little sympathy for others at work.,"Is systematic, likes to keep things in order at work.",I have never used a computer.,Can be tense at work.,"Is fascinated by art, music, or literature at work.","Is dominant, acts as a leader at work.",Starts arguments with others at work.,Has difficulty getting started on tasks at work.,"Feels secure, comfortable with self at work.","Avoids intellectual, philosophical discussions at work.",Is less active than other people at work.,Has a forgiving nature at work.,Can be somewhat careless at work.,"Is emotionally stable, not easily upset at work.",Has little creativity at work.,"Is sometimes shy, introverted at work.",Is helpful and unselfish with others at work.,For attention purposes please  mark neutral; no opinion.,Keeps things neat and tidy at work.,Worries a lot at work.,Values art and beauty at work.,Finds it hard to influence people at work.,Is sometimes rude to others at work.,I do not understand a word of english at work.,"Is efficient, gets things done at work.",Often feels sad at work.,"Is complex, a deep thinker at work.",Is full of energy at work.,Is suspicious of others’ intentions at work.,"Is reliable, can always be counted on at work.",Keeps their emotions under control at work.,Has difficulty imagining things at work.,Is talkative at work.,Can be cold and uncaring at work.,"Leaves a mess, doesn’t clean up at work.",Rarely feels anxious or afraid at work.,Thinks poetry and plays are boring.,Prefers to have others take charge at work.,"Is polite, courteous to others at work.","Is persistent, works until the task is finished at work.","Tends to feel depressed, blue at work.",Has little interest in abstract ideas at work.,Shows a lot of enthusiasm at work.,Assumes the best about people at work.,Sometimes behaves irresponsibly at work.,"Is temperamental, gets emotional easily at work.",I can run two miles in two minutes.,"Is original, comes up with new ideas at work.",Response,Response,Other (please specify),Response,Some other race (please specify),Response,Response,Open-Ended Response,
10463063277,223681939,2019-01-12 19:31:17,2019-01-12 20:05:37,75.138.15.239,,,,,I would ask my colleague again if there was any way that he or she would consider taking his or her vacation the week before or the week after the week in question. If they aren't able to reschedule their plans I would look at my own plans to see if there was any room for rescheduling so I could take my vacation a week before or a week after. If that is possible I would go ahead and rearrange my plans to accommodate my coworker's vacation time. If it is not possible then I would accept the fact that I would not be able to take my vacation that week since it is very understandable that we would not be able to take the same week off.,I would work on my project as usual but I would be sure to not dawdle and prioritize my time when completing the project. I would put it first and check to see if any other tasks I have going on could wait until after the project is finished. This would ensure that the project is finished before the due date just in case my boss chose to delegate any other tasks to me last minute. If my boss did give me a task before the project was finished I would remind him or her that I am still working on the project and I would like to finish it first before I took on any more tasks that needed my immediate attention.,I would do what I could to get my coworker to understand how important this meeting is to the both of us and remind him or her of what good could come from us attending. If my coworker is still adamant about not going to the meeting I would just go alone. I would probably be uncomfortable but not knowing anyone there isn't reason enough for me to not go. Attending could possibly open up lots of opportunities for me so I would definitely not miss the chance to attend.,I would be annoyed with the feedback but I would just accept it and move on. I would look deeper into the feedback and see if there was some truth to it and maybe I am just not seeing it from my point of view. I would possibly even ask to set up a meeting with my manager to see if he or she could give me some help with the problems that were brought up and let it be known that I am trying to do my best. After that I would put that advice to work and do what I could to improve in the areas I received feedback in.,"I would find the experience very enjoyable. Learning about new places and cultures is always exciting and having this knowledge could put me ahead of others in my company and give me opportunities that others are not qualified for. Also, if the need to travel to Norway does arise I would be ready for the task and I would not be forced to learn all of that last minute and I would be well prepared. ",Agree strongly,Agree strongly,Disagree a little,Agree a little,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Agree a little,Disagree strongly,Agree a little,Disagree strongly,Disagree a little,Agree a little,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree a little,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Agree strongly,Neutral; no opinion,Agree a little,Disagree a little,Agree strongly,Disagree a little,Disagree a little,Disagree strongly,Agree strongly,Disagree a little,Agree strongly,Agree a little,Disagree a little,Agree strongly,Agree strongly,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Disagree strongly,Disagree a little,Agree strongly,Agree strongly,Disagree a little,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Female,United States,,White,,30-39,Some college,A1QKIA8XRNEXIG,PhKFt90qI1
10463035379,223681939,2019-01-12 18:52:13,2019-01-12 19:12:16,97.100.156.72,,,,,I would change my plan simply to show the supervisor I am reasonable as well as garner more accolades. I will also use this later on when I need to take a day and this happens again. I can also use this to my advantage with the colleague as well saying i decided to switch my day off so you could have your vacation still go through with no issue.  This is not ideal but it certainly allows me to show that I am not only a team player but a company person caring more about the companies needs than my own even if that is not the case.  Besides while that person is away its a perfect opportunity to work harder to make me even more valuable. ,I would take it on with zero complaints. I would keep in mind that at a certain point I should expect that my silly boss will add things to that at the last minute. Knowing this and still accepting the job I am focused to not only expect it but to thrive and make myself an even more successful employee. ,I would go with zero reservations or issues. If my silly colleague does not see the gravity of this opportunity oh well. To me this is not only a great opportunity to shine a brighter light on my company and it's benefits but also to make my name more known with the largest client we know. This always leads to them talking about you to your boss. In this case this is a slam dunk and I would secretly thank my colleague for running scared from such an opportunity. ,I would make it a point to say my peace to him and everyone else in the organization. If this goes without being fixed that means my value at this company is not high and that will be known as well. I will immediately begin working harder and smarter meaning no more help to colleagues and now everyone will know what I did and how much effort was put in it. I will also make it a point to be in another company within 3 months. ,I would find this extremly enjoyable how can one not?  How often am I going to steep myself into another culture and get paid for it. This reeps an enormous amount of knowledge and benefit for me. Not only am I increasing my personal growth but my personal abilities for future employers. Who knows maybe there will be a short time job in Norway. ,Agree a little,Neutral; no opinion,Disagree strongly,Agree strongly,Disagree a little,Agree a little,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Agree a little,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Neutral; no opinion,Agree a little,Disagree strongly,Disagree strongly,Disagree a little,Agree a little,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Male,United States,,White,,21-29,Graduated from college (B.A./B.S.),A1M9DKI1CPKKTC,rJqOOSIN8p
10463022543,223681939,2019-01-12 18:32:59,2019-01-12 18:55:36,73.8.251.200,,,,,"if I could change my vacation plans I would.it might not matter unless I had solid plans like for a wedding,if I cant change my plans I think it might have to go by senority or by who requested vacation first","I would try to finish this project as quickly as possible.if I know my boss,he will likelt through me a loop and toss in a lot more jobs before I gert half way through this project","first I would try to talk my colleagues into going,i would try to stress the benefits of going, finally if they still wont go,i would have to go alone",I would try to talk to him to see why I am getting all the negative feedback.. would try to explain why I didnt believe the feedback was true.if that didnt work I would go to his manager,I think I would find this experience boring because I learn better being hands on.i can learn some things from a book but I learn better and faster by learning from the culture,Neutral; no opinion,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Agree a little,Agree strongly,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Neutral; no opinion,Agree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Agree a little,Agree a little,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Agree a little,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Female,United States,,White,,60 or older,Associates degree,A13FTIHWW9GE8X,ZexGaKadHx
10463010478,223681939,2019-01-12 18:14:53,2019-01-12 18:26:33,69.246.3.18,,,,,I would speak to my supervisor and see who requested first. Whoever was first should get the time.  If this does not solve the issue I will not hesitate to go above my supervisor to the manager.,I would do my assigned project as normal taking my time to ensure it is correct.  If I am given a last minute task I will still continue my original project if I am not finished. If I finish early I will start the next task but will let my boss know I may not finish.,I would still attend the networking event.  If I feel too uncomfortable while there I will just leave early.  I would rather show up than not.,I would speak with my manager about the feedback.  I would listen to their side but also give mine.  I will not leave until matters are settled and comfortable on both ends.,I would find this experience enjoyable.  Learning about other countries is very excited and opens your minds to new things.  This will also give me an oppotunity to learn about Norway just in case I do have a chance to visit one day.,Neutral; no opinion,Neutral; no opinion,Disagree strongly,Agree strongly,Agree strongly,Neutral; no opinion,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Disagree a little,Agree strongly,Neutral; no opinion,Neutral; no opinion,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Neutral; no opinion,Disagree strongly,Agree strongly,Agree strongly,Neutral; no opinion,Agree strongly,Neutral; no opinion,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Neutral; no opinion,Agree strongly,Agree strongly,Disagree strongly,Neutral; no opinion,Disagree strongly,Disagree strongly,Neutral; no opinion,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Female,United States,,Black or African-American,,21-29,Graduated from college (B.A./B.S.),A1NH9ZIB73BIJ8,h52JW1Gd4l
10463004199,223681939,2019-01-12 18:05:01,2019-01-12 18:24:59,70.180.142.28,,,,,I would try to discuss it with my colleague. I would try to find some middle ground if possible. I would do my best to reason with them and try to convince them by maybe offering to take on some of the shifts they don't want.,I would try to get ahead of my workload. I would set some extra time aside in case my boss gives me any last minute tasks to do. I would prioritize the project and make sure to work on it before other things.,I would try to convince them to go. I would tell them how useful it would be to attend this networking meeting. If they don't go I would suck it up and go despite not knowing anyone there.,I would try to talk with my manager more about the feedback. I would ease into it. I would present my points calmly and in a cool manner and hope they change their mind.,I would find the experience boring. I think it would be a little pointless. It just doesn't seem interesting in any way.,Agree a little,Agree a little,Disagree strongly,Agree strongly,Agree a little,Agree strongly,Agree a little,Disagree strongly,Agree a little,Agree a little,Agree strongly,Disagree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Neutral; no opinion,Agree a little,Disagree strongly,Agree a little,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Agree strongly,Disagree a little,Disagree a little,Agree strongly,Neutral; no opinion,Agree a little,Disagree a little,Disagree a little,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree a little,Agree strongly,Neutral; no opinion,Neutral; no opinion,Agree strongly,Agree strongly,Disagree a little,Agree a little,Neutral; no opinion,Disagree strongly,Neutral; no opinion,Disagree a little,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Disagree a little,Agree a little,Disagree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Male,United States,,White,,30-39,Associates degree,A2RUHO7I7Y4XFA,n3Tyy3K9Jt
10463001543,223681939,2019-01-12 18:01:22,2019-01-12 18:02:42,65.25.43.160,,,,,I would ask if I could take an extra day or two off if I agreed to take a different week.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10462995078,223681939,2019-01-12 17:52:02,2019-01-12 18:04:43,24.17.35.173,,,,,I would first see if it was even possible for me to change my vacation plans.  If I had already bought airplane tickets then I would argue that I should keep my vacation during that week.  I would definitely have a talk with my colleague to see why they were unwilling to switch their vacation time.,"I would definitely start on the project as soon as possible.  Since my boss occasionally gives me last minute work, it would not be smart to put off the project to the last minute.  I am one to not leave things to last minute so I would do it while I had time.","I would first tell me colleague the importance of going and how we each can benefit by going.  Plus, if we both were there, we could work together to help each other network.  If my colleague still did not want to go, I would still go by myself because it is extremely important to network.",I would cool off a bit before explaining my case as to why I disagree with the feedback.  I am all for criticism and negative feedback but not when I don't agree with it and if it would affect me financially.  I would wait a day then ask my manager for a meeting and explain my reasoning as to why the negative feedback was not correct.,"I would find it neither boring nor enjoyable.  It would be much better if I was actually able to travel to Norway and apply the things I learned about the culture and country.  If it was a bigger client, then I would be more inclined to find it enjoyable knowing the tedious work would benefit me.",Disagree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Neutral; no opinion,Disagree a little,Neutral; no opinion,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Disagree a little,Disagree strongly,Agree a little,Disagree strongly,Disagree a little,Agree a little,Disagree a little,Agree strongly,Disagree a little,Agree a little,Agree strongly,Neutral; no opinion,Neutral; no opinion,Disagree a little,Disagree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Agree a little,Disagree a little,Agree strongly,Disagree a little,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Agree strongly,Agree a little,Disagree a little,Neutral; no opinion,Agree strongly,Agree a little,Disagree a little,Disagree a little,Disagree strongly,Agree strongly,Male,United States,,White,,21-29,Graduated from college (B.A./B.S.),A2ES419GAJ003R,JDTlosGvf9
10462994599,223681939,2019-01-12 17:49:08,2019-01-12 18:08:47,73.237.186.214,,,,,"I would be the flexible one and change my week to a different one. I would email my supervisor and let them know of this change, and that my colleague was inflexible. I would be the one to change my week, because I don't see this matter as something I want to argue about with my colleague. ","I would get an early start on this project to make sure if any other tasks are assigned to me last minute, I will not feel as stressed with time. I would work on the project a little bit each day to make sure I am comfortably ahead of schedule. I would do this to minimize stress and to ensure completion in a timely manner if other tasks are given to me.","I would attend the networking meeting anyway. I would make the most of this and learn what I could while making potential new connections. I would still attend since it could be very beneficial to me professionally, and if I don't go, I may miss out on opportunities. ",I would feel very disheartened by this negative feedback. I would request a meeting with my manager and go through each point to discuss feedback. I would want to know specific examples of what led to this negative feedback.,"I would find this experience enjoyable, because I would get to learn about another country and culture. I also would volunteer, because this is interesting to me. I also like learning about other cultures.",Agree strongly,Agree a little,Disagree strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Disagree strongly,Agree a little,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree strongly,Disagree strongly,Neutral; no opinion,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Neutral; no opinion,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree a little,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Neutral; no opinion,Disagree strongly,Agree strongly,Neutral; no opinion,Agree strongly,Disagree a little,Neutral; no opinion,Disagree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Disagree a little,Agree strongly,Agree strongly,Disagree strongly,Neutral; no opinion,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Female,United States,,Asian,,40-49,Graduated from college (B.A./B.S.),A1120QQ2UZ1KYL,PhKFt90qI1
