item_num,raw_text,clean_text,reverse,trait,item_trait_number,item_id,subtrait
1,"1. Is outgoing, sociable.","Is outgoing, sociable.",,E,1,E_1,
2,"2. Is compassionate, has a soft heart.","Is compassionate, has a soft heart.",,A,1,A_1,
3,3. Tends to be disorganized.,Tends to be disorganized.,1,C,1,C_1,
4,"4. Is relaxed, handles stress well.","Is relaxed, handles stress well.",1,N,1,N_1,
5,5. Has few artistic interests.,Has few artistic interests.,1,O,1,O_1,
6,6. Has an assertive personality.,Has an assertive personality.,,E,2,E_2,
7,"7. Is respectful, treats others with respect.","Is respectful, treats others with respect.",,A,2,A_2,
8,8. Tends to be lazy.,Tends to be lazy.,1,C,2,C_2,
9,9. Stays optimistic after experiencing a setback.,Stays optimistic after experiencing a setback.,1,N,2,N_2,
10,10. Is curious about many different things.,Is curious about many different things.,,O,2,O_2,
11,11. Rarely feels excited or eager.,Rarely feels excited or eager.,1,E,3,E_3,
12,12. Tends to find fault with others.,Tends to find fault with others.,1,A,3,A_3,
13,"13. Is dependable, steady.","Is dependable, steady.",,C,3,C_3,
14,"14. Is moody, has up and down mood swings.","Is moody, has up and down mood swings.",,N,3,N_3,
15,"15. Is inventive, finds clever ways to do things.","Is inventive, finds clever ways to do things.",,O,3,O_3,
16,16. Tends to be quiet.,Tends to be quiet.,1,E,4,E_4,
17,17. Feels little sympathy for others.,Feels little sympathy for others.,1,A,4,A_4,
18,"18. Is systematic, likes to keep things in order.","Is systematic, likes to keep things in order.",,C,4,C_4,
19,19. Can be tense.,Can be tense.,,N,4,N_4,
20,"20. Is fascinated by art, music, or literature.","Is fascinated by art, music, or literature.",,O,4,O_4,
21,"21. Is dominant, acts as a leader.","Is dominant, acts as a leader.",,E,5,E_5,
22,22. Starts arguments with others.,Starts arguments with others.,1,A,5,A_5,
23,23. Has difficulty getting started on tasks.,Has difficulty getting started on tasks.,1,C,5,C_5,
24,"24. Feels secure, comfortable with self.","Feels secure, comfortable with self.",1,N,5,N_5,
25,"25. Avoids intellectual, philosophical discussions.","Avoids intellectual, philosophical discussions.",1,O,5,O_5,
26,26. Is less active than other people.,Is less active than other people.,1,E,6,E_6,
27,27. Has a forgiving nature.,Has a forgiving nature.,,A,6,A_6,
28,28. Can be somewhat careless.,Can be somewhat careless.,1,C,6,C_6,
29,"29. Is emotionally stable, not easily upset.","Is emotionally stable, not easily upset.",1,N,6,N_6,
30,30. Has little creativity.,Has little creativity.,1,O,6,O_6,
31,"31. Is sometimes shy, introverted.","Is sometimes shy, introverted.",1,E,7,E_7,
32,32. Is helpful and unselfish with others.,Is helpful and unselfish with others.,,A,7,A_7,
33,33. Keeps things neat and tidy.,Keeps things neat and tidy.,,C,7,C_7,
34,34. Worries a lot.,Worries a lot.,,N,7,N_7,
35,35. Values art and beauty.,Values art and beauty.,,O,7,O_7,
36,36. Finds it hard to influence people.,Finds it hard to influence people.,1,E,8,E_8,
37,37. Is sometimes rude to others.,Is sometimes rude to others.,1,A,8,A_8,
38,"38. Is efficient, gets things done.","Is efficient, gets things done.",,C,8,C_8,
39,39. Often feels sad.,Often feels sad.,,N,8,N_8,
40,"40. Is complex, a deep thinker.","Is complex, a deep thinker.",,O,8,O_8,
41,41. Is full of energy.,Is full of energy.,,E,9,E_9,
42,42. Is suspicious of others’ intentions.,Is suspicious of others’ intentions.,1,A,9,A_9,
43,"43. Is reliable, can always be counted on.","Is reliable, can always be counted on.",,C,9,C_9,
44,44. Keeps their emotions under control.,Keeps their emotions under control.,1,N,9,N_9,
45,45. Has difficulty imagining things.,Has difficulty imagining things.,1,O,9,O_9,
46,46. Is talkative.,Is talkative.,,E,10,E_10,
47,47. Can be cold and uncaring.,Can be cold and uncaring.,1,A,10,A_10,
48,"48. Leaves a mess, doesn’t clean up.","Leaves a mess, doesn’t clean up.",1,C,10,C_10,
49,49. Rarely feels anxious or afraid.,Rarely feels anxious or afraid.,1,N,10,N_10,
50,50. Thinks poetry and plays are boring.,Thinks poetry and plays are boring.,1,O,10,O_10,
51,51. Prefers to have others take charge.,Prefers to have others take charge.,1,E,11,E_11,
52,"52. Is polite, courteous to others.","Is polite, courteous to others.",,A,11,A_11,
53,"53. Is persistent, works until the task is finished.","Is persistent, works until the task is finished.",,C,11,C_11,
54,"54. Tends to feel depressed, blue.","Tends to feel depressed, blue.",,N,11,N_11,
55,55. Has little interest in abstract ideas.,Has little interest in abstract ideas.,1,O,11,O_11,
56,56. Shows a lot of enthusiasm.,Shows a lot of enthusiasm.,,E,12,E_12,
57,57. Assumes the best about people.,Assumes the best about people.,,A,12,A_12,
58,58. Sometimes behaves irresponsibly.,Sometimes behaves irresponsibly.,1,C,12,C_12,
59,"59. Is temperamental, gets emotional easily.","Is temperamental, gets emotional easily.",,N,12,N_12,
60,"60. Is original, comes up with new ideas.","Is original, comes up with new ideas.",,O,12,O_12,
